epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,26215.9,0.88224,0.67917,1.09042,0.7498,0.51641,0.57472,0.38109,1.27919,1.31345,1.34779,0.002938,0.002938,0.002938
109,26570.1,0.88005,0.6808,1.09165,0.79056,0.49891,0.58444,0.38807,1.27487,1.29843,1.33911,0.002872,0.002872,0.002872
110,26759.1,0.85207,0.6546,1.07464,0.73589,0.53044,0.58391,0.39189,1.26598,1.30355,1.34874,0.002806,0.002806,0.002806
111,27023,0.86337,0.6692,1.0801,0.72423,0.52735,0.57974,0.38763,1.2871,1.33708,1.36637,0.00274,0.00274,0.00274
112,27227.1,0.84625,0.64851,1.06769,0.77274,0.53173,0.59626,0.39362,1.31601,1.31982,1.38524,0.002674,0.002674,0.002674
113,27530.5,0.85143,0.65208,1.0767,0.75509,0.5186,0.59124,0.39358,1.28502,1.31513,1.34951,0.002608,0.002608,0.002608
114,27733.1,0.84729,0.64981,1.07674,0.74844,0.53392,0.59013,0.3939,1.28462,1.352,1.37088,0.002542,0.002542,0.002542
115,28055.1,0.85113,0.64628,1.07331,0.71055,0.56455,0.59115,0.39493,1.29922,1.32159,1.3736,0.002476,0.002476,0.002476
116,28165.2,0.84341,0.6431,1.06874,0.73916,0.55142,0.59307,0.39755,1.30223,1.34687,1.39101,0.00241,0.00241,0.00241
117,28412.6,0.82402,0.61672,1.05399,0.75978,0.52599,0.58234,0.39984,1.28556,1.35572,1.36107,0.002344,0.002344,0.002344
118,28522.2,0.81808,0.60881,1.0574,0.75404,0.53392,0.57287,0.39699,1.2602,1.38685,1.34782,0.002278,0.002278,0.002278
119,28770.8,0.82674,0.61996,1.05394,0.74853,0.52107,0.57606,0.39358,1.26431,1.38974,1.3414,0.002212,0.002212,0.002212
120,28880.3,0.82924,0.63034,1.06107,0.74964,0.53611,0.57332,0.39096,1.27173,1.35205,1.34911,0.002146,0.002146,0.002146
121,29056.2,0.83129,0.62531,1.06472,0.79734,0.50793,0.57638,0.39356,1.28515,1.35567,1.37198,0.00208,0.00208,0.00208
122,29193,0.81133,0.6056,1.04726,0.79467,0.5166,0.59044,0.40078,1.27286,1.32677,1.37102,0.002014,0.002014,0.002014
123,29375,0.80254,0.61308,1.05458,0.73363,0.54843,0.58288,0.39373,1.30451,1.36558,1.39531,0.001948,0.001948,0.001948
124,29513,0.794,0.59699,1.04104,0.78008,0.53557,0.58546,0.39633,1.30411,1.38052,1.39314,0.001882,0.001882,0.001882
125,29622.6,0.80713,0.61096,1.04066,0.73962,0.52833,0.58297,0.39378,1.30146,1.38124,1.3924,0.001816,0.001816,0.001816
126,29732,0.79594,0.59478,1.03975,0.7785,0.51641,0.57778,0.38395,1.31947,1.39505,1.39994,0.00175,0.00175,0.00175
127,29869.1,0.78471,0.58784,1.03689,0.76973,0.5186,0.57124,0.38337,1.31347,1.43854,1.39493,0.001684,0.001684,0.001684
128,30007,0.79061,0.59114,1.03818,0.75917,0.53803,0.57505,0.39187,1.28814,1.397,1.37919,0.001618,0.001618,0.001618
129,30188.6,0.77417,0.56778,1.03616,0.78051,0.51204,0.58148,0.39231,1.30282,1.39976,1.39032,0.001552,0.001552,0.001552
130,30320.9,0.76719,0.57045,1.03572,0.75916,0.53829,0.58516,0.39393,1.31149,1.37889,1.40824,0.001486,0.001486,0.001486
131,30577.5,0.76524,0.57192,1.02887,0.7235,0.53822,0.59089,0.39671,1.29074,1.37853,1.37685,0.00142,0.00142,0.00142
132,30759.7,0.75808,0.55312,1.02809,0.78861,0.51428,0.58832,0.38832,1.29927,1.38584,1.38074,0.001354,0.001354,0.001354
133,30956.8,0.76157,0.55589,1.02249,0.73416,0.54486,0.58631,0.38839,1.30893,1.3651,1.40294,0.001288,0.001288,0.001288
134,31089.4,0.75177,0.55205,1.01319,0.73739,0.56236,0.59182,0.39222,1.30814,1.40571,1.39259,0.001222,0.001222,0.001222
135,31286.1,0.74105,0.5563,1.02666,0.71249,0.56939,0.58695,0.39654,1.29605,1.38652,1.38446,0.001156,0.001156,0.001156
136,31464.6,0.76293,0.57302,1.02428,0.73083,0.55361,0.58809,0.3953,1.30139,1.42562,1.38805,0.00109,0.00109,0.00109
137,31689.6,0.75361,0.54176,1.02068,0.73206,0.53173,0.5827,0.39165,1.30215,1.40509,1.39718,0.001024,0.001024,0.001024
138,31918.7,0.75071,0.54849,1.01696,0.73002,0.56236,0.59109,0.39515,1.28456,1.4009,1.38324,0.000958,0.000958,0.000958
139,32097.7,0.73864,0.53293,1.01462,0.77045,0.54923,0.59379,0.39684,1.2856,1.4052,1.38669,0.000892,0.000892,0.000892
140,32208,0.74371,0.53883,1.00669,0.77337,0.54923,0.59025,0.39166,1.29945,1.43584,1.38628,0.000826,0.000826,0.000826
141,32554.4,0.74321,0.50433,0.9845,0.8003,0.52079,0.57658,0.38849,1.31185,1.42686,1.40757,0.00076,0.00076,0.00076
142,32705.7,0.72677,0.48405,0.97332,0.80645,0.51422,0.5805,0.38875,1.29919,1.44694,1.40145,0.000694,0.000694,0.000694
143,32903.5,0.7128,0.46492,0.96666,0.78772,0.51968,0.57812,0.38475,1.29928,1.44493,1.40086,0.000628,0.000628,0.000628
144,33091.8,0.70789,0.46038,0.96742,0.81685,0.50766,0.5796,0.39071,1.28629,1.43853,1.40319,0.000562,0.000562,0.000562
145,33270.4,0.69979,0.4563,0.96015,0.77384,0.51661,0.58317,0.38942,1.29344,1.41925,1.40358,0.000496,0.000496,0.000496
146,33423.8,0.69899,0.45281,0.9622,0.79193,0.52516,0.5906,0.38981,1.29683,1.43441,1.40156,0.00043,0.00043,0.00043
147,33689.7,0.69766,0.442,0.95595,0.78548,0.52298,0.58362,0.38825,1.29027,1.43746,1.39783,0.000364,0.000364,0.000364
148,33843.4,0.69485,0.4455,0.96175,0.78956,0.52516,0.58374,0.39171,1.28495,1.43175,1.39706,0.000298,0.000298,0.000298
149,34042.2,0.70155,0.4501,0.96116,0.79118,0.5223,0.58669,0.39421,1.28164,1.44034,1.3905,0.000232,0.000232,0.000232
150,34196,0.68338,0.44364,0.95761,0.78263,0.52785,0.5878,0.39315,1.28082,1.4402,1.38706,0.000166,0.000166,0.000166
